millis,stamp,date,time,light,temp,vcc
1998, 1341954968, 7/10/2012, 21:16:8, 281, 72.52, 3.74
3000, 1341954969, 7/10/2012, 21:16:9, 529, 72.52, 2.11
3999, 1341954970, 7/10/2012, 21:16:10, 502, 72.52, 2.34
4999, 1341954971, 7/10/2012, 21:16:11, 810, 72.52, 1.40
5999, 1341954972, 7/10/2012, 21:16:12, 981, 72.52, 1.15
6999, 1341954973, 7/10/2012, 21:16:13, 964, 72.52, 1.17
7999, 1341954974, 7/10/2012, 21:16:14, 962, 71.94, 1.17
8999, 1341954975, 7/10/2012, 21:16:15, 963, 71.36, 1.17
9999, 1341954976, 7/10/2012, 21:16:16, 963, 71.36, 1.17
10998, 1341954977, 7/10/2012, 21:16:17, 963, 70.78, 1.17
11999, 1341954978, 7/10/2012, 21:16:18, 964, 70.78, 1.17
12999, 1341954979, 7/10/2012, 21:16:19, 964, 70.20, 1.17
14000, 1341954980, 7/10/2012, 21:16:20, 963, 70.20, 1.17
14998, 1341954981, 7/10/2012, 21:16:21, 960, 70.20, 1.17
15998, 1341954982, 7/10/2012, 21:16:22, 960, 69.62, 1.17
17000, 1341954983, 7/10/2012, 21:16:23, 959, 69.62, 1.17
17999, 1341954984, 7/10/2012, 21:16:24, 961, 69.04, 1.17
18999, 1341954985, 7/10/2012, 21:16:25, 961, 69.04, 1.17
19998, 1341954986, 7/10/2012, 21:16:26, 963, 69.04, 1.17
21000, 1341954987, 7/10/2012, 21:16:27, 7, 68.46, 160.91
21999, 1341954988, 7/10/2012, 21:16:28, 0, 68.46, 0.00
22999, 1341954989, 7/10/2012, 21:16:29, 0, 67.88, 0.00
23999, 1341954990, 7/10/2012, 21:16:30, 0, 67.88, 0.00
24999, 1341954991, 7/10/2012, 21:16:31, 0, 67.88, 0.00
25999, 1341954992, 7/10/2012, 21:16:32, 0, 67.88, 0.00
26999, 1341954993, 7/10/2012, 21:16:33, 0, 67.88, 0.00
27999, 1341954994, 7/10/2012, 21:16:34, 0, 67.30, 0.00
28999, 1341954995, 7/10/2012, 21:16:35, 0, 67.30, 0.00
30000, 1341954996, 7/10/2012, 21:16:36, 0, 67.30, 0.00
30998, 1341954997, 7/10/2012, 21:16:37, 0, 67.30, 0.00
31998, 1341954998, 7/10/2012, 21:16:38, 0, 67.30, 0.00
33000, 1341954999, 7/10/2012, 21:16:39, 0, 67.30, 0.00
33998, 1341955000, 7/10/2012, 21:16:40, 0, 66.72, 0.00
35000, 1341955001, 7/10/2012, 21:16:41, 0, 66.72, 0.00
35998, 1341955002, 7/10/2012, 21:16:42, 0, 66.72, 0.00
37000, 1341955003, 7/10/2012, 21:16:43, 0, 66.72, 0.00
37999, 1341955004, 7/10/2012, 21:16:44, 0, 66.72, 0.00
38999, 1341955005, 7/10/2012, 21:16:45, 0, 66.72, 0.00
40000, 1341955006, 7/10/2012, 21:16:46, 0, 66.14, 0.00
40999, 1341955007, 7/10/2012, 21:16:47, 0, 66.14, 0.00
41999, 1341955008, 7/10/2012, 21:16:48, 0, 66.14, 0.00
42999, 1341955009, 7/10/2012, 21:16:49, 0, 66.14, 0.00
43999, 1341955010, 7/10/2012, 21:16:50, 0, 66.14, 0.00
44999, 1341955011, 7/10/2012, 21:16:51, 0, 66.14, 0.00
45999, 1341955012, 7/10/2012, 21:16:52, 0, 66.14, 0.00
46999, 1341955013, 7/10/2012, 21:16:53, 0, 66.14, 0.00
47998, 1341955014, 7/10/2012, 21:16:54, 0, 65.56, 0.00
49000, 1341955015, 7/10/2012, 21:16:55, 0, 65.56, 0.00
49998, 1341955016, 7/10/2012, 21:16:56, 0, 65.56, 0.00
51000, 1341955017, 7/10/2012, 21:16:57, 0, 65.56, 0.00
51998, 1341955018, 7/10/2012, 21:16:58, 0, 65.56, 0.00
53000, 1341955019, 7/10/2012, 21:16:59, 0, 64.98, 0.00
53998, 1341955020, 7/10/2012, 21:17:0, 0, 64.98, 0.00
55000, 1341955021, 7/10/2012, 21:17:1, 0, 64.98, 0.00
55999, 1341955022, 7/10/2012, 21:17:2, 0, 64.40, 0.00
56998, 1341955023, 7/10/2012, 21:17:3, 0, 64.40, 0.00
58000, 1341955024, 7/10/2012, 21:17:4, 0, 64.40, 0.00
58998, 1341955025, 7/10/2012, 21:17:5, 0, 64.40, 0.00
59999, 1341955026, 7/10/2012, 21:17:6, 0, 64.40, 0.00
60998, 1341955027, 7/10/2012, 21:17:7, 0, 63.82, 0.00
62000, 1341955028, 7/10/2012, 21:17:8, 0, 63.82, 0.00
62998, 1341955029, 7/10/2012, 21:17:9, 0, 63.82, 0.00
64000, 1341955030, 7/10/2012, 21:17:10, 0, 63.82, 0.00
64999, 1341955031, 7/10/2012, 21:17:11, 0, 63.82, 0.00
65999, 1341955032, 7/10/2012, 21:17:12, 0, 63.82, 0.00
66999, 1341955033, 7/10/2012, 21:17:13, 0, 63.82, 0.00
67999, 1341955034, 7/10/2012, 21:17:14, 0, 63.24, 0.00
68999, 1341955035, 7/10/2012, 21:17:15, 0, 63.24, 0.00
69999, 1341955036, 7/10/2012, 21:17:16, 0, 63.24, 0.00
70999, 1341955037, 7/10/2012, 21:17:17, 0, 63.24, 0.00
72000, 1341955038, 7/10/2012, 21:17:18, 0, 63.24, 0.00
72998, 1341955039, 7/10/2012, 21:17:19, 0, 63.24, 0.00
74000, 1341955040, 7/10/2012, 21:17:20, 0, 63.24, 0.00
74999, 1341955041, 7/10/2012, 21:17:21, 0, 62.66, 0.00
75999, 1341955042, 7/10/2012, 21:17:22, 0, 62.66, 0.00
76999, 1341955043, 7/10/2012, 21:17:23, 0, 62.66, 0.00
77999, 1341955044, 7/10/2012, 21:17:24, 0, 62.66, 0.00
79000, 1341955045, 7/10/2012, 21:17:25, 0, 62.66, 0.00
79998, 1341955046, 7/10/2012, 21:17:26, 0, 62.66, 0.00
81000, 1341955047, 7/10/2012, 21:17:27, 0, 62.66, 0.00
81999, 1341955048, 7/10/2012, 21:17:28, 0, 62.66, 0.00
82999, 1341955049, 7/10/2012, 21:17:29, 0, 62.66, 0.00
83999, 1341955050, 7/10/2012, 21:17:30, 0, 62.66, 0.00
84999, 1341955051, 7/10/2012, 21:17:31, 0, 62.66, 0.00
85999, 1341955052, 7/10/2012, 21:17:32, 0, 62.66, 0.00
86999, 1341955053, 7/10/2012, 21:17:33, 0, 62.08, 0.00
88000, 1341955054, 7/10/2012, 21:17:34, 0, 62.66, 0.00
88998, 1341955055, 7/10/2012, 21:17:35, 0, 62.66, 0.00
90000, 1341955056, 7/10/2012, 21:17:36, 0, 62.08, 0.00
90998, 1341955057, 7/10/2012, 21:17:37, 0, 62.08, 0.00
92000, 1341955058, 7/10/2012, 21:17:38, 0, 62.08, 0.00
92999, 1341955059, 7/10/2012, 21:17:39, 0, 62.08, 0.00
93999, 1341955060, 7/10/2012, 21:17:40, 0, 62.08, 0.00
95000, 1341955061, 7/10/2012, 21:17:41, 0, 62.08, 0.00
95998, 1341955062, 7/10/2012, 21:17:42, 0, 62.08, 0.00
97000, 1341955063, 7/10/2012, 21:17:43, 0, 62.08, 0.00
97998, 1341955064, 7/10/2012, 21:17:44, 0, 62.08, 0.00
99000, 1341955065, 7/10/2012, 21:17:45, 0, 61.50, 0.00
99998, 1341955066, 7/10/2012, 21:17:46, 0, 61.50, 0.00
101000, 1341955067, 7/10/2012, 21:17:47, 0, 61.50, 0.00
